13:31:51.304 -> 
13:32:04.508 -> sensor = 6	 output = 1
13:32:04.543 -> sensor = 6	 output = 1
13:32:04.543 -> sensor = 6	 output = 1
13:32:04.577 -> sensor = 6	 output = 1
13:32:04.612 -> sensor = 6	 output = 1
13:32:04.647 -> sensor = 6	 output = 1
13:32:04.647 -> sensor = 162	 output = 40
13:32:04.682 -> sensor = 423	 output = 105
13:32:04.717 -> sensor = 572	 output = 143
13:32:04.751 -> sensor = 116	 output = 29
13:32:04.786 -> sensor = 6	 output = 1
13:32:04.786 -> sensor = 6	 output = 1
13:32:04.820 -> sensor = 6	 output = 1
13:32:04.855 -> sensor = 6	 output = 1
13:32:04.890 -> sensor = 6	 output = 1
13:32:04.890 -> sensor = 6	 output = 1
13:32:04.925 -> sensor = 6	 output = 1
13:32:04.959 -> sensor = 6	 output = 1
13:32:04.959 -> sensor = 6	 output = 1
13:32:04.994 -> sensor = 6	 output = 1
13:32:05.029 -> sensor = 814	 output = 203
13:32:05.064 -> sensor = 963	 output = 240
13:32:05.099 -> sensor = 963	 output = 240
13:32:05.133 -> sensor = 963	 output = 240
13:32:05.133 -> sensor = 963	 output = 240
13:32:05.166 -> sensor = 963	 output = 240
13:32:05.201 -> sensor = 963	 output = 240
13:32:05.236 -> sensor = 894	 output = 223
13:32:05.270 -> sensor = 7	 output = 1
13:32:05.270 -> sensor = 7	 output = 1
13:32:05.305 -> sensor = 7	 output = 1
13:32:05.340 -> sensor = 7	 output = 1
13:32:05.375 -> sensor = 7	 output = 1
13:32:05.375 -> sensor = 7	 output = 1
13:32:05.409 -> sensor = 7	 output = 1
13:32:05.443 -> sensor = 7	 output = 1
13:32:05.443 -> sensor = 7	 output = 1
13:32:05.478 -> sensor = 7	 output = 1
13:32:05.512 -> sensor = 7	 output = 1
13:32:05.547 -> sensor = 7	 output = 1
13:32:05.547 -> sensor = 7	 output = 1
13:32:05.581 -> sensor = 7	 output = 1
13:32:05.616 -> sensor = 7	 output = 1
13:32:05.616 -> sensor = 7	 output = 1
13:32:05.649 -> sensor = 7	 output = 1
13:32:05.683 -> sensor = 7	 output = 1
13:32:05.718 -> sensor = 7	 output = 1
13:32:05.718 -> sensor = 7	 output = 1
13:32:05.753 -> sensor = 7	 output = 1
13:32:05.788 -> sensor = 115	 output = 28
13:32:05.823 -> sensor = 958	 output = 239
13:32:05.823 -> sensor = 963	 output = 240
13:32:05.858 -> sensor = 963	 output = 240
13:32:05.891 -> sensor = 963	 output = 240
13:32:05.925 -> sensor = 963	 output = 240
13:32:05.959 -> sensor = 962	 output = 240
13:32:05.994 -> sensor = 960	 output = 240
13:32:06.029 -> sensor = 300	 output = 75
13:32:06.064 -> sensor = 5	 output = 1
13:32:06.064 -> sensor = 5	 output = 1
13:32:06.099 -> sensor = 5	 output = 1
13:32:06.099 -> sensor = 5	 output = 1
13:32:06.134 -> sensor = 5	 output = 1
13:32:06.169 -> sensor = 5	 output = 1
13:32:06.204 -> sensor = 5	 output = 1
13:32:06.204 -> sensor = 5	 output = 1
13:32:06.239 -> sensor = 5	 output = 1
13:32:06.272 -> sensor = 5	 output = 1
13:32:06.272 -> sensor = 5	 output = 1
13:32:06.306 -> sensor = 5	 output = 1
13:32:06.341 -> sensor = 5	 output = 1
13:32:06.376 -> sensor = 5	 output = 1
13:32:06.376 -> sensor = 5	 output = 1
13:32:06.411 -> sensor = 5	 output = 1
13:32:06.446 -> sensor = 5	 output = 1
13:32:06.446 -> sensor = 5	 output = 1
13:32:06.481 -> sensor = 5	 output = 1
13:32:06.516 -> sensor = 5	 output = 1
13:32:06.549 -> sensor = 13	 output = 3
13:32:06.549 -> sensor = 331	 output = 82
13:32:06.583 -> sensor = 963	 output = 240
13:32:06.617 -> sensor = 963	 output = 240
13:32:06.652 -> sensor = 963	 output = 240
13:32:06.687 -> sensor = 963	 output = 240
13:32:06.687 -> sensor = 963	 output = 240
13:32:06.722 -> sensor = 963	 output = 240
13:32:06.757 -> sensor = 963	 output = 240
13:32:06.791 -> sensor = 961	 output = 240
13:32:06.825 -> sensor = 788	 output = 197
13:32:06.859 -> sensor = 204	 output = 51
13:32:06.894 -> sensor = 7	 output = 1
13:32:06.929 -> sensor = 7	 output = 1
13:32:06.929 -> sensor = 7	 output = 1
13:32:06.964 -> sensor = 7	 output = 1
13:32:06.964 -> sensor = 7	 output = 1
13:32:06.999 -> sensor = 7	 output = 1
13:32:07.033 -> sensor = 7	 output = 1
13:32:07.068 -> sensor = 7	 output = 1
13:32:07.103 -> sensor = 7	 output = 1
13:32:07.103 -> sensor = 7	 output = 1
13:32:07.138 -> sensor = 7	 output = 1
13:32:07.138 -> sensor = 7	 output = 1
13:32:07.172 -> sensor = 7	 output = 1
13:32:07.207 -> sensor = 7	 output = 1
13:32:07.242 -> sensor = 7	 output = 1
13:32:07.242 -> sensor = 7	 output = 1
13:32:07.277 -> sensor = 7	 output = 1
13:32:07.312 -> sensor = 100	 output = 25
13:32:07.312 -> sensor = 599	 output = 149
13:32:07.347 -> sensor = 963	 output = 240
13:32:07.380 -> sensor = 963	 output = 240
13:32:07.414 -> sensor = 963	 output = 240
13:32:07.449 -> sensor = 963	 output = 240
13:32:07.484 -> sensor = 962	 output = 240
13:32:07.519 -> sensor = 960	 output = 240
13:32:07.519 -> sensor = 769	 output = 192
13:32:07.554 -> sensor = 153	 output = 38
13:32:07.589 -> sensor = 7	 output = 1
13:32:07.624 -> sensor = 7	 output = 1
13:32:07.658 -> sensor = 7	 output = 1
13:32:07.658 -> sensor = 7	 output = 1
13:32:07.693 -> sensor = 7	 output = 1
13:32:07.728 -> sensor = 7	 output = 1
13:32:07.728 -> sensor = 7	 output = 1
13:32:07.762 -> sensor = 7	 output = 1
13:32:07.797 -> sensor = 7	 output = 1
13:32:07.831 -> sensor = 7	 output = 1
13:32:07.831 -> sensor = 7	 output = 1
13:32:07.866 -> sensor = 7	 output = 1
13:32:07.901 -> sensor = 7	 output = 1
13:32:07.936 -> sensor = 7	 output = 1
13:32:07.936 -> sensor = 7	 output = 1
13:32:07.971 -> sensor = 7	 output = 1
13:32:08.006 -> sensor = 128	 output = 32
13:32:08.006 -> sensor = 929	 output = 232
13:32:08.041 -> sensor = 963	 output = 240
13:32:08.076 -> sensor = 963	 output = 240
13:32:08.110 -> sensor = 963	 output = 240
13:32:08.145 -> sensor = 963	 output = 240
13:32:08.145 -> sensor = 963	 output = 240
